"","cond","domain","med_read","med_sd"
"1","input","DCV",1316,963.293809564081
"2","input","FLAG",576,428.101076278604
"3","input","GFPnb",780,627.09022505709
"4","input","SNAP",487,361.844326212413
"5","input","SpyCatcher",516.5,378.712204209504
"6","input","WDV",879,810.320742894301
"7","input","mMobA",1210,696.027224348559
"8","packaging","DCV",1019,905.661558005608
"9","packaging","FLAG",768,523.866981561903
"10","packaging","GFPnb",758,699.938353754115
"11","packaging","SNAP",462,317.191431747984
"12","packaging","SpyCatcher",598,451.657498742596
"13","packaging","WDV",616,517.774740962453
"14","packaging","mMobA",1304,797.904849216417
"15","pulldown","DCV",1086,1312.08025946448
"16","pulldown","FLAG",580,468.809610832446
"17","pulldown","GFPnb",955,974.425440640083
"18","pulldown","SNAP",535,415.679573166099
"19","pulldown","WDV",795,785.253337333998
"20","pulldown","mMobA",1134.5,978.14267781394
"21","binding","DCV",70,59.7352492252271
"22","binding","FLAG",651.5,624.651199594239
"23","binding","GFPnb",637,631.485285885813
"24","binding","SNAP",386,331.992741161197
"25","binding","SpyCatcher",508.5,434.261666063648
"26","binding","WDV",556,841.267534684224
"27","binding","mMobA",629,454.751054771822
"28","uptake","DCV",23,NA
"29","uptake","FLAG",377,316.161056465582
"30","uptake","GFPnb",279,270.833729908276
"31","uptake","SNAP",336,341.464715937887
"32","uptake","SpyCatcher",877,751.472352708414
"33","uptake","WDV",611,599.670820759005
"34","uptake","mMobA",1690,1335.09969997947
"35","infectivity","FLAG",699,495.096479634295
"36","infectivity","GFPnb",800,814.666293834025
"37","infectivity","SNAP",265.5,459.078428109488
"38","infectivity","SpyCatcher",461,424.131994708003
"39","infectivity","WDV",489,656.290807727486
"40","infectivity","mMobA",652,759.248387563387
